Start date*,Start time,Meet up,End date,End time,Match Type*,Home Team*,Away Team*,Description,Place
22/09/2026,20:30,20:00,22/09/2026,22:30,Home,Bahman 4,ABC Volleybal 5,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
28/09/2026,21:00,20:30,28/09/2026,23:00,Away,VVC Best 3,Bahman 4,League Match,"Sporthal Naestenbest, Pr. Beatrixlaan 27, Best"
06/10/2026,20:30,20:00,06/10/2026,22:30,Home,Bahman 4,MVC de Hangar 4,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
12/10/2026,20:30,20:00,12/10/2026,22:30,Away,VC Bravo 2,Bahman 4,League Match,"Sporthal de Wedert, Pastoor Heerkensdreef 29, Valkenswaard"
26/10/2026,20:30,20:00,26/10/2026,22:30,Referee,VC Bravo 3,ABC Volleybal 5,Referee Duty,"Sporthal de Wedert, Pastoor Heerkensdreef 29, Valkenswaard"
03/11/2026,20:30,20:00,03/11/2026,22:30,Home,Bahman 4,VC Bravo 3,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
09/11/2026,20:00,19:30,09/11/2026,22:00,Away,VC Primo 7,Bahman 4,League Match,"Sporthal Genderbeemd, Sterkenburg 616, Eindhoven"
17/11/2026,20:30,20:00,17/11/2026,22:30,Home,Bahman 4,VV Tamar 6,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
23/11/2026,20:30,20:00,23/11/2026,22:30,Referee,VC Bravo 2,VVC Best 3,Referee Duty,"Sporthal de Wedert, Pastoor Heerkensdreef 29, Valkenswaard"
24/11/2026,20:30,20:00,24/11/2026,22:30,Home,Bahman 4,VC Riethoven 2,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
30/11/2026,21:00,20:30,30/11/2026,23:00,Away,VML/Drukkerij VGA 1,Bahman 4,League Match,"Gymzaal de Barrier, Barrierweg 1, Eindhoven"
11/01/2027,20:30,20:00,11/01/2027,22:30,Referee,VC Bravo 2,MVC de Hangar 4,Referee Duty,"Sporthal de Wedert, Pastoor Heerkensdreef 29, Valkenswaard"
12/01/2027,21:00,20:30,12/01/2027,23:00,Away,ABC Volleybal 5,Bahman 4,League Match,"Frits Philips Sporthal, Avignonlaan 1, Eindhoven"
19/01/2027,20:30,20:00,19/01/2027,22:30,Home,Bahman 4,VVC Best 3,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
21/01/2027,21:00,20:30,21/01/2027,23:00,Referee,VC Bravo 3,VC Bravo 2,Referee Duty,"Sporthal De Pracht, De Pracht 3, Waalre"
01/02/2027,20:30,20:00,01/02/2027,22:30,Referee,VC Bravo 3,VVC Best 3,Referee Duty,"Sporthal de Wedert, Pastoor Heerkensdreef 29, Valkenswaard"
02/02/2027,21:00,20:30,02/02/2027,23:00,Away,MVC de Hangar 4,Bahman 4,League Match,"Sporthal Meerrijk de Hangar, Meerbos 4, Eindhoven"
15/02/2027,21:00,20:30,15/02/2027,23:00,Referee,VVC Best 3,MVC de Hangar 4,Referee Duty,"Sporthal Naestenbest, Pr. Beatrixlaan 27, Best"
16/02/2027,20:30,20:00,16/02/2027,22:30,Home,Bahman 4,VC Bravo 2,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
22/02/2027,20:30,20:00,22/02/2027,22:30,Referee,VC Bravo 2,VML/Drukkerij VGA 1,Referee Duty,"Sporthal de Wedert, Pastoor Heerkensdreef 29, Valkenswaard"
09/03/2027,20:30,20:00,09/03/2027,22:30,Home,Bahman 4,VC Primo 7,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
15/03/2027,20:00,19:30,15/03/2027,22:00,Referee,VC Primo 7,MVC de Hangar 4,Referee Duty,"Sporthal Genderbeemd, Sterkenburg 616, Eindhoven"
16/03/2027,20:30,20:00,16/03/2027,22:30,Away,VC Riethoven 2,Bahman 4,League Match,"De Kemphaan, Vlasstraat 6, Riethoven"
24/03/2027,21:30,21:00,24/03/2027,23:30,Away,VV Tamar 6,Bahman 4,League Match,"Tennishal Eindhoven Noord, Vijfkamplaan 10, Eindhoven"
30/03/2027,20:30,20:00,30/03/2027,22:30,Home,Bahman 4,VML/Drukkerij VGA 1,League Match,"Sporthal De Pracht, De Pracht 3, Waalre"
05/04/2027,20:30,20:00,05/04/2027,22:30,Away,VC Bravo 3,Bahman 4,League Match,"Sporthal de Wedert, Pastoor Heerkensdreef 29, Valkenswaard"
08/04/2027,21:30,21:00,08/04/2027,23:30,Referee,VC Primo 7,VV Tamar 6,Referee Duty,"Sporthal Genderbeemd, Sterkenburg 616, Eindhoven"
